col_x,col_y,method,score_type,score,n,regression_r2
X,LONGITUDE,REGRESSION,R2,1.0,7570,
Y,LATITUDE,REGRESSION,R2,1.0,7570,
POPULATION,BEDS,REGRESSION,R2,0.999,6872,
X,POPULATION,CLASSIFICATION,Accuracy,0.587,6880,0.01
Y,LONGITUDE,CLASSIFICATION,Accuracy,0.581,7570,0.007
LATITUDE,LONGITUDE,CLASSIFICATION,Accuracy,0.581,7570,0.007
X,LATITUDE,CLASSIFICATION,Accuracy,0.579,7570,0.006
X,Y,CLASSIFICATION,Accuracy,0.579,7570,0.006
X,BEDS,CLASSIFICATION,Accuracy,0.578,6919,0.015
LONGITUDE,BEDS,CLASSIFICATION,Accuracy,0.578,6919,0.015
POPULATION,LONGITUDE,CLASSIFICATION,Accuracy,0.576,6880,0.007
Y,POPULATION,CLASSIFICATION,Accuracy,0.517,6880,0.003
Y,BEDS,CLASSIFICATION,Accuracy,0.512,6919,0.002
LATITUDE,BEDS,CLASSIFICATION,Accuracy,0.512,6919,0.002
POPULATION,LATITUDE,CLASSIFICATION,Accuracy,0.503,6880,0.003
